HomeTeam,AwayTeam,FTR,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFormPts,ATFormPts,HTGD,ATGD
Bradford,Aston Villa,NH,L,D,L,W,L,W,L,L,L,L,4,3,-1.08,0.04
Coventry,Arsenal,NH,L,L,D,D,W,D,D,L,D,W,5,6,-0.8,0.64
Derby,Sunderland,H,D,L,W,L,D,D,W,W,D,W,5,11,-0.64,0.36
Ipswich,Leeds,NH,L,W,L,W,D,W,W,L,W,D,7,10,0.24,0.12
Leicester,Chelsea,H,L,D,L,L,L,W,W,D,W,D,1,11,-0.08,0.64
Liverpool,West Ham,H,W,D,D,W,W,L,D,D,L,L,11,2,0.730769231,0.076923077
Man United,Everton,H,W,W,W,W,D,L,D,W,D,L,13,5,1.576923077,-0.423076923
Middlesbrough,Man City,NH,D,D,W,D,D,D,D,L,D,L,7,3,-0.115384615,-0.576923077
Tottenham,Charlton,NH,D,D,D,W,L,W,D,D,W,W,6,11,-0.153846154,-0.153846154
Everton,Leeds,NH,L,D,W,D,L,W,W,W,L,W,5,12,-0.423076923,0.153846154
Arsenal,Ipswich,H,W,D,D,L,D,L,L,W,L,W,6,6,0.692307692,0.192307692
Aston Villa,Middlesbrough,NH,D,W,L,L,L,D,D,W,D,D,4,7,0.038461538,-0.115384615
Chelsea,Man United,NH,L,W,W,D,W,W,W,W,W,D,10,13,0.576923077,1.576923077
Everton,Leicester,H,L,D,W,D,L,W,L,D,L,L,5,4,-0.423076923,-0.038461538
Leeds,Derby,NH,W,W,W,L,W,L,D,L,W,L,12,4,0.153846154,-0.653846154
Man City,Tottenham,NH,D,D,D,L,D,D,D,D,D,W,4,7,-0.555555556,-0.148148148
Southampton,Bradford,H,W,W,D,D,L,L,L,L,D,L,8,1,-0.111111111,-1.185185185
Sunderland,Liverpool,NH,L,L,D,W,W,D,W,D,D,W,7,9,0.259259259,0.703703704
Charlton,Newcastle,H,D,W,D,D,W,L,L,W,W,L,9,6,-0.148148148,-0.185185185
West Ham,Coventry,NH,D,L,D,D,L,L,L,L,L,D,3,1,0.074074074,-0.814814815
Bradford,West Ham,NH,L,L,L,D,L,D,L,D,D,L,1,3,-1.185185185,0.074074074
Coventry,Charlton,NH,L,L,L,L,D,D,W,D,D,W,1,9,-0.814814815,-0.148148148
Derby,Aston Villa,H,W,L,D,L,W,L,D,W,L,L,7,4,-0.592592593,0
Ipswich,Everton,H,L,L,L,W,L,D,L,D,W,D,3,6,0.148148148,-0.407407407
Leicester,Sunderland,H,L,W,L,D,L,L,L,D,W,W,4,7,-0.074074074,0.259259259
Middlesbrough,Southampton,NH,D,D,D,D,W,W,W,W,D,D,7,11,-0.107142857,-0.071428571
Newcastle,Man City,NH,L,L,L,W,W,L,D,D,D,L,6,3,-0.214285714,-0.571428571
Tottenham,Leeds,NH,W,D,D,D,D,D,D,W,W,W,7,11,-0.107142857,0.142857143
Man United,Arsenal,H,D,W,W,W,W,W,W,W,D,D,13,11,1.5,0.714285714
Arsenal,West Ham,H,W,W,W,D,D,W,D,L,D,D,11,6,0.714285714,0.107142857
Coventry,Chelsea,NH,D,L,L,L,L,D,D,L,W,W,1,8,-0.785714286,0.535714286
Derby,Tottenham,H,D,W,L,D,L,W,D,D,D,D,5,7,-0.571428571,-0.107142857
Everton,Newcastle,NH,W,D,L,D,W,L,L,L,W,W,8,6,-0.357142857,-0.214285714
